Source;Target;Type;Weight
2113.0;414;Directed;8
2118.0;414;Directed;5
1361.0;415;Directed;3
2116.0;416;Directed;1
746.0;417;Directed;3
;418;Directed;1
1452.0;419;Directed;6
;420;Directed;5
1467.0;421;Directed;8
1557.0;421;Directed;3
2116.0;422;Directed;1
;423;Directed;1
1930.0;423;Directed;11
1957.0;424;Directed;2
1632.0;425;Directed;13
765.0;426;Directed;5
1632.0;426;Directed;13
1825.0;426;Directed;1
666.0;427;Directed;1
;427;Directed;7
895.0;428;Directed;4
2011.0;429;Directed;1
;430;Directed;5
1213.0;431;Directed;3
1467.0;431;Directed;2
1670.0;431;Directed;5
895.0;432;Directed;4
895.0;433;Directed;4
895.0;434;Directed;4
1467.0;435;Directed;4
895.0;436;Directed;4
867.0;437;Directed;1
867.0;438;Directed;3
895.0;439;Directed;4
2027.0;439;Directed;1
765.0;440;Directed;1
895.0;441;Directed;4
895.0;442;Directed;4
1298.0;443;Directed;5
;444;Directed;2
;444;Directed;1
765.0;444;Directed;6
;444;Directed;2
;444;Directed;4
1128.0;444;Directed;15
1132.0;444;Directed;5
1283.0;444;Directed;1
1825.0;444;Directed;11
;444;Directed;2
2158.0;444;Directed;25
;445;Directed;7
1298.0;446;Directed;5
2121.0;447;Directed;3
1467.0;448;Directed;1
;449;Directed;2
;449;Directed;1
;449;Directed;3
1128.0;449;Directed;6
1132.0;449;Directed;1
1283.0;449;Directed;1
1825.0;449;Directed;3
2117.0;449;Directed;3
2158.0;449;Directed;13
;450;Directed;1
1944.0;450;Directed;1
1632.0;451;Directed;1
1571.0;452;Directed;1
